,Cookie Name,Domains Associated With,Cookie Expiration,Cookie Security,HTTP Only Status,Total Number of Sites With Cookie,Number of Luxury Clothing Companies With Cookie,Number of Fast Fashion Companies With Cookie,Number of Technology Companies With Cookie,Number of Car Companies with Cookie
0,urbn_geo_region,['.anthropologie.com'],Expires at 1748759112,Secure,Not HTTP Only,1,0,1,0,0
1,INGRESSCOOKIE,['www2.hm.com'],Does not expire,Secure,HTTP Only,1,0,1,0,0
2,swym-session-id,['.us.peppermayo.com'],Expires at 1733213688,Secure,Not HTTP Only,1,0,1,0,0
3,_scid,"['.uniqlo.com', '.showpo.com', '.glassons.com', '.cottonon.com', '.edikted.com', '.garageclothing.com', '.bose.com', '.anker.com', '.hyundaiusa.com']",Expires at 1767393817,Not secure,Not HTTP Only,9,0,6,2,1
4,ysntjtk,['.yesstyle.com'],Expires at 1735803865,Secure,Not HTTP Only,1,0,1,0,0
5,SS_ATTENTIVE,['.anthropologie.com'],Expires at 1733208915,Not secure,Not HTTP Only,1,0,1,0,0
6,bt_stdstatus,['.asos.com'],Expires at 1735831865,Secure,Not HTTP Only,1,0,1,0,0
7,sc_at,"['.snapchat.com', '.snapchat.com', '.snapchat.com']",Expires at 1766903130,Secure,Not HTTP Only,3,0,2,0,1
8,s_ppv,"['.valentino.com', '.maisonmargiela.com', '.nvidia.com', '.oracle.com', '.hyundaiusa.com']",Does not expire,Not secure,Not HTTP Only,5,2,0,2,1
9,AMCV_F207D74D549850760A4C98C6%40AdobeOrg,['.nvidia.com'],Expires at 1796280122,Not secure,Not HTTP Only,1,0,0,1,0
10,visivalm,['.ford.com'],Does not expire,Not secure,Not HTTP Only,1,0,0,0,1
11,tracker_device,"['.affirm.com', 'www.anker.com']",Expires at 1890889050,Not secure,Not HTTP Only,2,0,0,2,0
12,riv-detected-city,['rivian.com'],Expires at 1733211973,Secure,Not HTTP Only,1,0,0,0,1
13,__adal_id,['.boohoo.com'],Expires at 1796278781,Not secure,Not HTTP Only,1,0,1,0,0
14,vltn_aka_org_geo,['www.valentino.com'],Does not expire,Not secure,Not HTTP Only,1,1,0,0,0
